Tubejockey	Date	Strain	RTO3_ID	RepA	RepB	RepC	Drop	Normalization	Comment
Sam	20170127	APA 4832	$\Delta$892473	58.45	112.07	66.97		169	
Sam	20170127	APA 4834	$\Delta$995166	61.97	225.39	239.86		169	
Sam	20170217	APA 4140	$\Delta$Ku70	106.67	154.2	165.7		169	
Sam	20170217	APA 9148	$\Delta$911103	149.08	183.28	452.39	TRUE	169	Sample C very high cell count. Contaminant?
Sam	20170217	APA 9160	$\Delta$894131	122.94	136.38	162.36		169	
Sam	20170217	APA 9168	$\Delta$908512	170.49	165.28	178.43		169	
Sam	20170217	APA 9174	$\Delta$895909	39.19	49.61	56.06		169	
Sam	20170217	APA 4814	$\Delta$946039	60.17	67.21	65.58		169	
Sam	20170217	APA 4829	$\Delta$915041	104.44	124.19	130.71		169	
Sam	20170217	APA 4830	$\Delta$910064	111.97	117.55	140.21		169	
Sam	20170217	APA 4832	$\Delta$892473	53.77	97.96	355.74	TRUE	169	Sample C very high cell count. Contaminant?
Sam	20170217	APA 4834	$\Delta$995166	81.98	99.65	99.48		169	
Sam	20170325	APA 4140	$\Delta$Ku70	211.21	302.4	308.87		170	
Sam	20170325	APA 4814	$\Delta$946039	43.21	52.42	61.87		170	
Sam	20170325	APA 4821	$\Delta$960784	51.23	59.81	54.56		170	
Sam	20170325	APA 4825	$\Delta$896810	32.65	199.89	84.85		170	
Sam	20170325	APA 4844	$\Delta$907702	139.61	149.96	155.15		170	
Sam	20170325	APA 4846	$\Delta$915151	821.99	883.89	850.91		170	Chains of cells
Sam	20170325	APA 9154	$\Delta$887314	380.33	183.81	231.75		170	
Sam	20170325	APA 9148	$\Delta$911103	188.51	194.13	323.14		170	
Sam	20170325	APA 9163	$\Delta$908515	317.53	182.33	237.99		170	
Sam	20170325	APA 9167	$\Delta$916939	356.48	219.92	201.1		170	
Sam	20170331	APA 4140	$\Delta$Ku70	139.63	137.08	148.56		170	
Sam	20170331	APA 4826	$\Delta$878492	103.25	115.73	147.91		170	
Sam	20170331	APA 4834	$\Delta$995166	87.66	94.88	94.95		170	
Sam	20170331	APA 4844	$\Delta$907702	147.53	157.45	162.53		170	
Sam	20170331	APA 4846	$\Delta$915151	824.15	812.34	936.09		170	
Sam	20170331	APA 4848	$\Delta$953982	854.21	744.7	911.63		170	
Sam	20170331	APA 9160	$\Delta$894131	335.14	178.27	218.91		170	
Sam	20170331	APA 9168	$\Delta$908512	153.19	163.87	238.33		170	
Sam	20170512	APA 4140	$\Delta$Ku70	158.27	164.86	179.94		150	
Sam	20170512	APA 9116	$\Delta$959981	92	91.61	92.65		150	
Sam	20170512	APA 4834	$\Delta$995166	81.64	89.18	109.29		150	
Sam	20170512	APA 4814	$\Delta$946039	80.88	89.65	84.04		150	
Sam	20170512	APA 4821	$\Delta$960784	82.59	88.21	85.25		150	
Sam	20170512	APA 4812	$\Delta$902840	209.7	222.9	208.38		150	
Sam	20170512	APA 9119	$\Delta$947596	197.35	200.28	186.88		150	
Sam	20170512	APA 4818	$\Delta$906251	50.71	49.72	43.37		150	
Sam	20170614	APA 4140	$\Delta$Ku70	118.19	131.93	146.2		150	
Sam	20170614	APA 4841	$\DeltaPEX11$	119.9	110.38	122.17		150	
Sam	20170614	APA 4839	$\DeltaACADSB$	93.36	111.5	129.47		150	
Sam	20170614	APA 4837	$\DeltaECHS1$	77.02	83.75	95.08		150	
Sam	20170720	APA 4140	$\Delta$Ku70	231.48	219.61	199.67		145	
Sam	20170720	APA 4826	$\Delta$878492	169.03	206.67	209.12		145	
Sam	20170720	APA 4828	$\Delta$943231	137.99	181.04	191.81		145	
Sam	20170720	APA 4832	$\Delta$892473	178.74	193.83	205.25		145	
Sam	20170720	APA 4844	$\Delta$907702	224.39	290.35	269.68		145	
Sam	20170720	APA 4848	$\Delta$953982	972.56	1027.38	1177.08		145	
Sam	20170720	APA 9148	$\Delta$911103	281.09	303.01	324.77		145	
Sam	20170720	APA 9160	$\Delta$894131	196.76	256.78	238.87		145	
Sam	20170907	APA 4140	$\Delta$Ku70	74.76	79.4	84.37		145	
Sam	20170907	APA 4883	RTO4_12639	98.29	111.09	114		145	
Sam	20170907	APA 4884	RTO4_11766	114.47	111.18	117.47		145	
Sam	20170907	APA 4885	RTO4_15211	51.18	74.47	65.34		145	
Sam	20170907	APA 4886	RTO4_13917	82.81	79.33	85.84		145	
Sam	20170907	APA 4887	RTO4_13917	81.06	79.68	80.88		145	
Sam	20170915	APA 4140	$\Delta$Ku70	287.18	266.03	264.46		155	
Sam	20170915	APA 4883	RTO4_12639	305.06	309.91	280.73		155	
Sam	20170915	APA 4884	RTO4_11766	271.61	285.08	291.95		155	
Sam	20170915	APA 4885	RTO4_15211	227.77	239.47	250.34		155	
Sam	20170915	APA 4886	RTO4_13917	260.02	299	272.4		155	
Sam	20170915	APA 4887	RTO4_13917	291	284.87	245.65		155	
