Color	LineStyle	Symbol	FaceColor	ColorOrder	Xlabel	RTO3 ID	RTO4 ID	ColorLabel	Date/Time	Xvalue	Data		
C2	-	o	C2	3	APA 4836	RTO3_945059	RTO4_8963	$RTO4$_$8963\Delta$ oliec	6/15/17 14:17	68.78333333	2.44	3.6	4.5
C2	-	o	C2	3	APA 4836	RTO3_945059	RTO4_8963	$RTO4$_$8963\Delta$ oliec	6/16/17 9:00	87.5	5	6.78	7.64
C2	-	o	C2	3	APA 4836	RTO3_945059	RTO4_8963	$RTO4$_$8963\Delta$ oliec	42902.66667	94.5	6.06	7.88	9.18
C2	-	o	C2	3	APA 4836	RTO3_945059	RTO4_8963	$RTO4$_$8963\Delta$ oliec	6/18/17 20:00	146.5	10.6	10.24	8.7
C2	:	o	none	4	APA 4836	RTO3_945059	RTO4_8963	$RTO4$_$8963\Delta$ ricinoleic	6/20/17 19:00	0	0.1	0.1	0.1
C2	:	o	none	4	APA 4836	RTO3_945059	RTO4_8963	$RTO4$_$8963\Delta$ ricinoleic	6/20/17 21:30	2.5	0.096	0.104	0.096
C2	:	o	none	4	APA 4836	RTO3_945059	RTO4_8963	$RTO4$_$8963\Delta$ ricinoleic	6/21/17 10:10	15.16666667	0.27	0.33	0.31
C2	:	o	none	4	APA 4836	RTO3_945059	RTO4_8963	$RTO4$_$8963\Delta$ ricinoleic	6/21/17 15:00	20	0.6	0.7	0.56
C2	:	o	none	4	APA 4836	RTO3_945059	RTO4_8963	$RTO4$_$8963\Delta$ ricinoleic	6/22/17 10:30	39.5	2	2.02	1.74
C2	:	o	none	4	APA 4836	RTO3_945059	RTO4_8963	$RTO4$_$8963\Delta$ ricinoleic	6/22/17 17:25	46.41666667	2.21	2.26	2
C2	:	o	none	4	APA 4836	RTO3_945059	RTO4_8963	$RTO4$_$8963\Delta$ ricinoleic	6/23/17 12:25	65.41666667	2.44	2.28	2.12
C2	:	o	none	4	APA 4836	RTO3_945059	RTO4_8963	$RTO4$_$8963\Delta$ ricinoleic	6/24/17 18:45	95.75	2.73	2.48	2.23
